Date:2021-01-18          Time:11:24:59
Items		 Size	Start Stock	Current Stock
T-Shirt White    XS          3          0
T-Shirt White    S          3          0
T-Shirt White    M          3          0
T-Shirt White    L          3          0
T-Shirt White    XL          3          0
T-Shirt Black    XS          3          0
T-Shirt Black    S          3          0
T-Shirt Black    M          3          0
T-Shirt Black    L          3          0
T-Shirt Black    XL          3          0
T-Shirt Grey    XS          3          0
T-Shirt Grey    S          3          0
T-Shirt Grey    M          3          0
T-Shirt Grey    L          3          0
T-Shirt Grey    XL          3          0
Hoody Red    XS          3          0
Hoody Red    S          3          0
Hoody Red    M          3          0
Hoody Red    L          3          0
Hoody Red    XL          3          0
Hoody Black    XS          3          0
Hoody Black    S          3          0
Hoody Black    M          3          0
Hoody Black    L          3          0
Hoody Black    XL          3          0
Hoody Grey    XS          3          0
Hoody Grey    S          3          0
Hoody Grey    M          3          0
Hoody Grey    L          3          0
Hoody Grey    XL          3          0
Fleece Red    XS          3          0
Fleece Red    S          3          0
Fleece Red    M          3          0
Fleece Red    L          3          0
Fleece Red    XL          3          0
Fleece Black    XS          3          0
Fleece Black    S          3          0
Fleece Black    M          3          0
Fleece Black    L          3          0
Fleece Black    XL          3          0
Fleece Grey    XS          3          0
Fleece Grey    S          3          0
Fleece Grey    M          3          0
Fleece Grey    L          3          0
Fleece Grey    XL          3          0
Leggings Grey    XS          3          0
Leggings Grey    S          3          0
Leggings Grey    M          3          0
Leggings Grey    L          3          0
Leggings Grey    XL          3          0
Leggings Black    XS          3          0
Leggings Black    S          3          0
Leggings Black    M          3          0
Leggings Black    L          3          0
Leggings Black    XL          3          0
Shorts Grey    XS          3          0
Shorts Grey    S          3          0
Shorts Grey    M          3          0
Shorts Grey    L          3          0
Shorts Grey    XL          3          0
Shorts Black    XS          3          0
Shorts Black    S          3          0
Shorts Black    M          3          0
Shorts Black    L          3          0
Shorts Black    XL          3          0
