Date:2022-06-08          Time:20:29:09
Items		 Size	Start Stock	Current Stock
T-Shirt White    XS          0          0
T-Shirt White    S          0          0
T-Shirt White    M          0          0
T-Shirt White    L          0          0
T-Shirt White    XL          0          0
T-Shirt Black    XS          0          0
T-Shirt Black    S          0          0
T-Shirt Black    M          0          0
T-Shirt Black    L          0          0
T-Shirt Black    XL          0          0
T-Shirt Grey    XS          0          0
T-Shirt Grey    S          0          0
T-Shirt Grey    M          0          0
T-Shirt Grey    L          0          0
T-Shirt Grey    XL          0          0
Hoody Red    XS          0          0
Hoody Red    S          0          0
Hoody Red    M          0          0
Hoody Red    L          0          0
Hoody Red    XL          0          0
Hoody Black    XS          0          0
Hoody Black    S          0          0
Hoody Black    M          0          0
Hoody Black    L          0          0
Hoody Black    XL          0          0
Hoody Grey    XS          0          0
Hoody Grey    S          0          0
Hoody Grey    M          0          0
Hoody Grey    L          0          0
Hoody Grey    XL          0          0
Fleece Red    XS          0          0
Fleece Red    S          0          0
Fleece Red    M          0          0
Fleece Red    L          0          0
Fleece Red    XL          0          0
Fleece Black    XS          0          0
Fleece Black    S          0          0
Fleece Black    M          0          0
Fleece Black    L          0          0
Fleece Black    XL          0          0
Fleece Grey    XS          0          0
Fleece Grey    S          0          0
Fleece Grey    M          0          0
Fleece Grey    L          0          0
Fleece Grey    XL          0          0
Leggings Grey    XS          0          0
Leggings Grey    S          0          0
Leggings Grey    M          0          0
Leggings Grey    L          0          0
Leggings Grey    XL          0          0
Leggings Black    XS          0          0
Leggings Black    S          0          0
Leggings Black    M          0          0
Leggings Black    L          0          0
Leggings Black    XL          0          0
Shorts Grey    XS          0          0
Shorts Grey    S          0          0
Shorts Grey    M          0          0
Shorts Grey    L          0          0
Shorts Grey    XL          0          0
Shorts Black    XS          0          0
Shorts Black    S          0          0
Shorts Black    M          0          0
Shorts Black    L          0          0
Shorts Black    XL          0          0
